filename,title,authors,journal,publication_year,doi,pmcid,source_url
0150075.pdf,The Role of Moisturizers in Addressing Various Kinds of Dermatitis: A Review,"['Schandra Purnamawati', 'Niken Indrastuti', 'Retno Danarti', 'Tatan Saefudin']",Clinical Medicine &amp; Research,2017,10.3121/cmr.2017.1363,,
41598_2022_Article_13452.pdf,Moisture retention of glycerin solutions with various concentrations: a comparative study,"['H. J. Chen', 'P. Y. Lee', 'C. Y. Chen', 'S. L. Huang', 'B. W. Huang', 'F. J. Dai', 'C. F. Chau', 'C. S. Chen', 'Y. S. Lin']",Scientific Reports,2022,10.1038/s41598-022-13452-2,,https://doi.org/10.1038/s41598-022-13452-2
41598_2025_Article_88899 (1).pdf,Niacinamide and its impact on stratum corneum hydration and structure,"['Thomas Sjöberg', 'Andebrhan Fsahaye', 'Emelie J. Nilsson', 'Silvia Letasiova', 'Itedale Namro', 'Lene Visdal-Johnsen', 'Nina Hrapovic', 'Sandra Smiljanic', 'Christina Österlund', 'Johan Engblom', 'Sebastian Björklund']",Scientific Reports,2025,10.1038/s41598-025-88899-0,,https://doi.org/10.1038/s41598-025-88899-0
41598_2025_Article_88899.pdf,Niacinamide and its impact on stratum corneum hydration and structure,"['Thomas Sjöberg', 'Andebrhan Fsahaye', 'Emelie J. Nilsson', 'Silvia Letasiova', 'Itedale Namro', 'Lene Visdal-Johnsen', 'Nina Hrapovic', 'Sandra Smiljanic', 'Christina Österlund', 'Johan Engblom', 'Sebastian Björklund']",Scientific Reports,2025,10.1038/s41598-025-88899-0,,https://doi.org/10.1038/s41598-025-88899-0
484_2026_Article_3145.pdf,"A global score for skin environmental exposure: integrating UV radiation, heat, and pollution via fuzzy analytic hierarchy process","['Marcelo de Paula Corrêa', 'Ivana Riera Pereira Bastos', 'Ana Letícia Campos Yamamoto']",International Journal of Biometeorology,2026,10.1007/s00484-026-03145-0,,https://doi.org/10.1007/s00484-026-03145-0
aem.02385-25.pdf,"Ultraviolet radiation reshapes the metabolome of skin commensal bacteria, influencing AhR signaling and barrier function","['Steven D. Mercer', 'Abigail Elias', 'George Taylor', 'Geoff S. Briggs', 'Michael Bell', 'Andrew J. McBain', ""Catherine A. O'Neill""]",Applied and Environmental Microbiology,2026,10.1128/aem.02385-25,,https://doi.org/10.5281/zenodo.18349217).
CD012119.pdf,Co c h r a n e,"['Lib r a r y', '/uni00A0', 'Co c h r a n e  D a ta ba se of System a tic Rev iew s', '/uni00A0', 'Em o llie n t s  a n d  m o is t u r is e r s  f o r  e c z e m a  (Re v ie w ) /uni00A0', '/uni00A0v a n  Zuuren  E J, Fedorow icz Z, C hristen sen  R, La v rijsen  AP M , Aren ts BW M /uni00A0', '/uni00A0 v a n /uni00A0Zuuren /uni00A0E J, Fedorow icz/uni00A0Z, C hristen sen /uni00A0R, La v rijsen /uni00A0AP M , Aren ts/uni00A0BW M .', 'E m ollien ts a n d m oisturisers for eczem a .', 'C o c h r a n e  D a t a b a s e  o f S y s t e m a t ic  R e v ie w s  2 017, Issue 2 . Art. No.: C D 012 119.']",,2017,10.1002/14651858.CD012119.pub2.,,
derm.2024.0301.pdf,Parsnip Phytophotodermatitis,"['Allison Holt', 'Colleen Gabel', 'Kelly Flanagan', 'Nikki A. Levin']",Dermatitis®,2024,10.1089/derm.2024.0358,,
derma-v9-e93639.pdf,"Climate, Humidity, and Population-Level Interest in Dry Skin: Infodemiology Analysis Using Google Trends Across the United States","['Kimiya Aframian', 'Shaya Naimi', 'Joy Xu', 'Gordon Bae']",JMIR Dermatology,2016,10.2196/93639,,https://derma.jmir.org/2026/1/e93639
DRP2012-495917.pdf,Cleansing Formulations That Respect Skin Barrier Integrity,"['Russel M. Walters', 'Guangru Mao', 'Euen T. Gunn', 'Sidney Hornby']",Dermatology Research and Practice,2012,10.1155/2012/495917,,
ICS-42-632.pdf,Topical niacinamide enhances hydrophobicity and resilience of corneocyte envelopes on different facial locations,"['R. Voegeli', 'D. Guneri', 'M. Cherel', 'B. Summers', 'M. E. Lane', 'A. V. Rawlings']",International Journal of Cosmetic Science,2016,10.1111/ics.12666,,
ijms-24-10502.pdf,Environmental Air Pollutants Affecting Skin Functions with Systemic Implications,"['Georgeta Bocheva', 'Radomir M. Slominski', 'Andrzej T. Slominski']",International Journal of Molecular Sciences,2023,10.3390/ijms241310502,,https://doi.org/10.3390/
jcm-11-00298.pdf,Impact of Water Exposure and Temperature Changes on Skin Barrier Function,"['Manuel Herrero-Fernandez', 'Trinidad Montero-Vilchez', 'Pablo Diaz-Calvillo', 'Maria Romera-Vilchez', 'Agustin Buendia-Eisman', 'Salvador Arias-Santiago']",Journal of Clinical Medicine,2022,10.3390/jcm11020298,,https://doi.org/
JDV-33-1496.pdf,The impact of airborne pollution on skin,"['E. Araviiskaia,1 E. Berardesca,2 T. Bieber,3 G. Gontijo,4 M. Sanchez Viera, 5 L. Marrot,6 B. Chuberre,7', 'B. Dreno8,*', '1Department of Dermatology and Venereal Diseases, First Pavlov State Medical University of St. Petersburg, St. Petersburg, Russia', '2San Gallicano Dermatological Institute, Rome, Italy', '3Department of Dermatology and Allergy, University of Bonn, Bonn, Germany', '4Department of Dermatology, UFMG Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil', '5Instituto De Dermatologia Integral, Madrid, Spain', '6L’Or/C19eal Advanced Research, Aulnay-sous-Bois, France', '7L’Or/C19eal Cosm/C19etique Active International, Levallois-Perret, France', '8Onco-Dermatology Department, CHU Nantes, CRCINA, University Nantes, Nantes, France', '*Correspondence: B. Dreno. E-mail: brigitte.dreno@atlanmed.fr']",,2018,10.1007/s00105-018-4319-y.,,https://doi.org/10.1007/s00105-018-4319-y.
JOCD-24-e70193.pdf,Efficacy in Clinical Studies of a Skin Care Serum Formula Containing 7 Short and Long Saccharides and Bacterial Fractions to Repair and Strengthen the Skin Barrier From Aggressions in Intense Conditions,"['Caroline Pichon', 'Marion Mesrobian', 'Sybille De Bussy', 'Elodie Valverde', 'Audrey Gueniche']",Journal of Cosmetic Dermatology,2025,10.1111/jocd.70193,,https://doi.org/10.1111/jocd.70193
JOCD-24-e70392.pdf,UV‐A Radiation Impairs Sebaceous‐Gland‐Related Skin Barrier Function by Inducing Inflammation and Altering Intracellular Sebum‐Like Lipid Composition,"['Wangyue Dong', 'Maori Kono', 'Masayuki Takaishi', 'Ayumi Kyuka', 'Hiroko Kato', 'Fumitaka Fujita']",Journal of Cosmetic Dermatology,2025,10.1111/jocd.70392,,https://doi.org/10.1111/jocd.70392
JOCD-25-e70795.pdf,Impact of Ceramide Acyl Chain Length on Human Skin Barrier Recovery and Hydration,"['Do‐Hyeon Gwon', 'Hyun Kyung Choi', 'Eun Ok Lee', 'Sung Kyu Hong', 'Chang Seo Park', 'Jin Wook Kim', 'Kwang‐Hyeon Liu']",Journal of Cosmetic Dermatology,2026,10.1111/jocd.70795,,https://doi.org/10.1111/jocd.70795
KTIB_11_2133877.pdf,Effect of altered human exposome on the skin and mucosal epithelial barrier integrity,"['Yagiz Pat', 'Ismail Ogulur', 'Duygu Yazici', 'Yasutaka Mitamura', 'Lacin Cevhertas', 'Ozan C. Küçükkase', 'Sanne S. Mesisser', 'Mübeccel Akdis', 'Kari Nadeau', 'Cezmi A. Akdis']",Tissue Barriers,2022,10.1080/21688370.2022.2133877,,https://doi.org/10.1080/21688370.2022.2133877
main (1).pdf,Impact of environmental changes on Dermatology,"['Vidal Haddad Junior', 'Adriana Lúcia Mendes', 'Carolina Chrusciak Talhari', 'Hélio Amante Miot']",Anais Brasileiros de Dermatologia,2021,10.1016/j.abd.2020.11.004,,http://creativecommons.org/licenses/by/4.0/).
